File,Scanner,Date,Time,SNR,SNR_vol,SFNR_roi,SFNR_roi_nodrift,SFNR_vol_nodrift,semSFNR_vol_nodrift,LinearDrift,SliceMaxSigChange,DriftArtefact
QA7T-GloverGSQAP-19_01_08-09_55_40-STD-1_3_12_2_1107_5_2_34_18984,QA7T,19_01_08,09_55_40,544.823783858307,721.51694196152,897.914822214215,1284.16355244468,1202.0933394995,3.06805099597549,-0.297346379734091,0.269688623141014,1.03629022746505
QA7T-GloverGSQAP-19_01_22-09_21_57-STD-1_3_12_2_1107_5_2_34_18984,QA7T,19_01_22,09_21_57,351.283114632049,878.422009200917,854.483873302951,1266.74378687344,1130.84838892163,2.76793452392728,-0.332507351390138,0.194388304735338,1.03751418805015
QA7T-GloverGSQAP-19_06_18-09_35_45-DST-1_3_12_2_1107_5_2_34_18984a,QA7T,19_06_18,09_35_45,544.567205203284,986.7395307144,1104.73785263057,1414.63550692288,1463.48492944532,4.08943716788906,-0.199383088194239,0.134719773623107,0.58099336275753
QA7T-GloverGSQAP-19_06_18-09_35_45-DST-1_3_12_2_1107_5_2_34_18984,QA7T,19_06_18,09_35_45,478.588496745123,968.105494652085,1013.36873104063,1330.40210312845,1370.85544318469,3.62657167805488,-0.241370267535193,0.121584147302279,0.802985597748947
QA7T-GloverGSQAP-19_06_24-09_31_12-DST-1_3_12_2_1107_5_2_34_18984,QA7T,19_06_24,09_31_12,546.306087091407,991.8648007783,1060.83598619844,1368.03546460793,1344.48836618259,4.02005588462765,-0.214971461988779,0.220078195799134,1.11524745427155
QA7T-GloverGSQAP-19_07_16-09_18_39-DST-1_3_12_2_1107_5_2_34_18984,QA7T,19_07_16,09_18_39,644.68813327983,1059.59314683708,792.453646718166,1421.34083014933,1202.83774285191,2.70643160236119,-0.371023623488745,0.15114222082353,1.09211810552468
QA7T-GloverGSQAP-19_08_13-09_23_53-DST-1_3_12_2_1107_5_2_34_18984,QA7T,19_08_13,09_23_53,550.903013783903,1043.16467921659,1273.29829975851,1364.5316387207,1489.11225140618,6.75142528947234,-0.125272191943692,0.138580876865642,1.11145815230385
QA7T-GloverGSQAP-19_09_09-11_57_43-DST-1_3_12_2_1107_5_2_34_18984,QA7T,19_09_09,11_57_43,519.195540727066,952.123090944957,1005.39296236725,1112.2478114692,1174.78974803461,5.51550299994476,-0.154781732568838,0.152953655119273,1.04949254556126
QA7T-GloverGSQAP-19_10_07-09_41_18-DST-1_3_12_2_1107_5_2_34_18984,QA7T,19_10_07,09_41_18,613.978389168715,1048.86042530212,1006.92331957538,1089.02798522235,1108.13125177657,5.82648449891285,-0.149873848365793,0.239642060225681,1.2492343493826
QA7T-GloverGSQAP-19_10_21-09_53_14-DST-1_3_12_2_1107_5_2_34_18984,QA7T,19_10_21,09_53_14,576.672179965621,949.960394789058,1037.82506664143,1221.44651344565,1225.21201028992,4.23643159590571,-0.201811085362964,0.130155467544784,1.2208202315478
QA7T-GloverGSQAP-19_11_05-11_06_08-STD-1_3_12_2_1107_5_2_34_18984,QA7T,19_11_05,11_06_08,499.483109229515,931.319471063563,987.226574234268,1309.92585765726,1400.8509870088,3.58785897404593,-0.235574508488239,0.112569746509953,0.7381530486042
QA7T-GloverGSQAP-19_11_14-09_18_02-STD-1_3_12_2_1107_5_2_34_18984,QA7T,19_11_14,09_18_02,648.88,1093.62,1129.22,1342.25,1271.15,4.6527,-0.1818,0.1369,0.9678
QA7T-GloverGSQAP-20_05_27-10_47_52-DST-1_3_12_2_1107_5_2_34_18984,QA7T,20_05_27,10_47_52,463.03,966.69,841.4,1177.49,1091.44,2.8583,-0.3513,0.3671,1.2785
QA7T-GloverGSQAP-20_06_09-14_43_23-DST-1_3_12_2_1107_5_2_34_18984,QA7T,20_06_09,14_43_23,545.71,1117.96,1230.64,1407.21,1440.42,5.4056,-0.1512,0.1081,0.9161
QA7T-GloverGSQAP-20_06_18-14_44_22-DST-1_3_12_2_1107_5_2_34_18984,QA7T,20_06_18,14_44_22,391.13,859.35,1135.7,1351.62,1332.77,4.1485,-0.1806,0.1246,1.1573
QA7T-GloverGSQAP-20_07_02-15_34_04-DST-1_3_12_2_1107_5_2_34_18984,QA7T,20_07_02,15_34_04,438.31,906.35,939.81,1071.62,1050.25,3.1152,-0.2878,0.1104,0.8209
QA7T-GloverGSQAP-20_07_09-12_07_17-DST-1_3_12_2_1107_5_2_34_18984,QA7T,20_07_09,12_07_17,496.21,1060.46,944.27,1021.11,1023.87,3.3633,-0.2583,0.231,0.9375
QA7T-WarmingUp-20_07_28-12_44_45-DST-1_3_12_2_1107_5_2_34_18984,QA7T,20_07_28,12_44_45,599.19,1061.24,525.1,931.15,694.41,1.8533,-0.6574,0.0996,1.2919
QA7T-WarmingUp-20_08_07-09_30_54-DST-1_3_12_2_1107_5_2_34_18984,QA7T,20_08_07,09_30_54,473.17,938.33,813.34,820.9,1672.66,15.256,0.0345,0.1168,1.108
QA7T-WarmingUp-20_08_11-12_37_51-DST-1_3_12_2_1107_5_2_34_18984,QA7T,20_08_11,12_37_51,410.49,897.12,574.25,935.68,711.1,2.0343,-0.5801,0.1218,1.7613
QA7T-WarmingUp-20_10_05-13_56_53-DST-1_3_12_2_1107_5_2_34_18984,QA7T,20_10_05,13_56_53,487.6,994.81,670.27,938.2,716.94,2.3,-0.464,0.2818,1.8516
QA7T-WarmingUp-20_10_15-12_21_33-DST-1_3_12_2_1107_5_2_34_18984,QA7T,20_10_15,12_21_33,504.05,1052.53,681.26,897.28,756.14,2.1672,-0.514,0.1115,1.2166
QA7T-WarmingUp-20_11_05-15_13_52-STD-1_3_12_2_1107_5_2_34_18984,QA7T,20_11_05,15_13_52,653.14,1086.73,579.86,801.97,686.11,1.9488,-0.4728,0.1884,1.4769
QA7T-WarmingUp-20_11_25-10_19_57-STD-1_3_12_2_1107_5_2_34_18984,QA7T,20_11_25,10_19_57,578.36,922.67,671.32,956.92,794.19,2.4805,-0.5049,0.1209,2.2869
